Name;Jahr;Sektor;Payout;PayoutVJ;Quote;ROA;FCFUE;lnUEWachs;lnInv;lnFKQ;lnCash;lnGK;lnUE;lnMK;lnAnalyst;Float;ARP;lnKBV;Abgeltung
FUNKWERK AG;2006;IT;1;1;0,011594299;0,067936;0,032440564;-0,029050921;0,028413308;0;-1,653900328;5,164460207;5,488859211;5,37241275;1,945910149;0,498378244;0;0,646139733;0
GEA GROUP AG;2006;Industrials;1;0;0,004321533;-0,013319;0,021390551;0,10271542;0,019311154;0,032468158;-2,33174545;8,473221408;8,411308116;7,898899408;2,995732274;0,662998349;1;0,498090251;0
GERATHERM MEDICAL AG;2006;Health Care;1;1;0,17580271;0,079027;0,0734953;0,130949312;0,011041781;0;-1,134687729;2,92066384;2,103035991;3,350845749;0;0,386;0;0,514112138;0
GERRY WEBER INTL AG;2006;Consumer;1;1;0,024068924;0,076986;0,027181878;0,109090252;0,050818234;0,215606418;-3,380895747;5,36164891;5,965114925;5,928078993;1,609437912;0,556114832;1;1,111059318;0
GFK SE;2006;Consumer;1;1;0,012315832;0,057652;0,113448234;0,337150578;0,014195916;0,32272315;-2,933382839;7,310384369;6,843040742;7,116456264;2,197224577;0,431221771;0;1,115950684;0
GFT TECHNOLOGIES AG;2006;IT;0;0;0;0,013807;-0,013206101;-0,037194208;0,009561271;0,001826331;-1,333477441;4,361294451;4,795328455;4,446438968;0,693147181;0,64301451;0;0,651922922;0
GILDEMEISTER AG;2006;Industrials;1;0;0,003963684;0,014201;0,008480349;0,068362139;0,018186751;0,279729535;-3,776501481;6,868407198;7,02633533;5,715305786;2,079441542;1;0;0,132114392;0
GIRINDUS AG;2006;Health Care;0;0;0;-0,203985;-0,375293677;0,242360909;0,059008718;0,107971504;-2,488213029;3,515329316;3,379939696;3,858952976;0;0,257317073;0;0,911666686;0
GRAMMER AG;2006;Consumer;1;0;0,012213458;0,039555;0,02255213;0,040892392;0,07391947;0,125312838;-3,17120811;6,063189683;6,756115777;5,364176406;1,098612289;0,927012863;0;0,209420226;0
GRAPHIT KROPFMUEHL AG;2006;Sonstige;1;1;0,008133284;0,008372;0,025063506;-0,030579833;0,019164894;0,296695826;-4,809395089;4,123223522;4,260142859;3,735470631;0;0,354513889;0;0,857527793;0
H&R WASAG AG;2006;Sonstige;1;1;0,008585774;0,029822;-0,009797361;0,268355512;0,069610995;0,31082104;-3,297865082;5,920575236;6,477084664;5,977551543;1,791759469;0,537098352;0;1,514728784;0
HAMATECH AG;2006;Sonstige;0;0;0;-0,21702;-0,038826617;-0,349695074;0,029236122;0,054389696;-5,249178612;4,575834059;4,629931089;4,289623475;1,098612289;0,2859;0;0,158609529;0
HAWESKO HOLDING AG;2006;Consumer;1;1;0,03077175;0,065426;0,059623967;0,004193196;0,031422916;0,112697236;-3,122183532;5,091391593;5,659652933;5,156521154;1,791759469;0,519981886;0;0,861710692;0
HEIDELBERGCEMENT AG;2006;Sonstige;1;1;0,017010789;0,0366;0,034317147;0,118679523;0,043230532;0,283370541;-3,683465523;9,38720133;8,962208676;9,254284703;2,772588722;0,139096754;0;0,813942824;0
HEILER SOFTWARE AG;2006;IT;0;0;0;-0,077277;-0,120669243;0,077958691;0,006647913;0;-0,142363432;2,9266769;1,748121012;3,257834296;0;0,673017601;0;0,417173121;0
HENKEL AG & CO KGAA (VZ.);2006;Sonstige;1;1;0,00669562;0,055904;0,057123768;0,122638783;0,0277943;0,241279693;-2,442777421;9,542804587;9,390492912;8,554810662;3,258096538;1;0;0,865468121;0
HOCHTIEF AG;2006;Industrials;1;1;0,004614305;0,00882;0,010172564;0,133772738;0,059802719;0,126596527;-2,027491886;8,994742679;9,521728861;8,049609033;2,708050201;0,7316;0;0,53626701;0
HORNBACH BAUMARKT AG;2006;Consumer;1;1;0,005911054;0,019492;-0,052537775;0,064627892;0,098991096;0,337115601;-2,876767409;7,159249913;7,7116479;6,37581062;0;0,154479578;0;0,34815059;0
HORNBACH HOLDING AG;2006;Consumer;1;1;0,001926404;0,012598;-0,065841186;0,064061532;0,10250108;0,379271703;-2,40827664;7,492044669;7,769422969;5,768717167;1,098612289;1;0;0,302814626;0
HUGO BOSS AG (VZ.);2006;Sonstige;1;1;0,026641933;0,13009;0,081328561;0,113985612;0,085933999;0,149804391;-3,318266929;6,749928852;7,177337279;7,054746507;1,386294361;0,779588883;1;1,610640318;0
IBS AG;2006;IT;0;0;0;0,095121;0,090050097;-0,014370767;0,010836837;0,101935457;-1,744918823;2,686799326;2,873886622;3,174123203;1,098612289;0,575659349;0;1,209372093;0
IDS SCHEER AG;2006;Sonstige;1;1;0,018072255;0,063027;0,029362857;0,126827346;0,007897433;0,088874058;-1,476956195;5,730083549;5,7624381;6,296760674;2,397895273;0,512867877;0;1,079068945;0
IFCO SYSTEMS NV;2006;Industrials;0;0;0;0,065901;0,123158428;0,199902764;0,016657195;0,218387459;-2,336133884;6,44648302;6,356583242;6,145085231;0,693147181;0,08907105;0;0,844998135;0
INDUS HOLDING AG;2006;Industrials;1;1;0,029512793;0,02465;0,027134007;0,102639617;0,035524079;0,464496618;-1,931306977;6,825887741;6,595624764;6,293357539;1,609437912;0,65;0;1,022421647;0
INFINEON TECHNOLOGIES AG;2006;IT;0;0;0;-0,029506;-0,041130345;-0,062511776;0,12488855;0,150058318;-2,192567992;9,238344568;8,818630229;8,711685628;3,583518938;0,817685733;0;0,075998942;0
