"Index","price","return"
"2016-07-12","2016-07-12",22.2656059265137,0.00452623374618888
"2016-07-13","2016-07-13",22.1399021148682,-0.00566164662755586
"2016-07-14","2016-07-14",22.5787296295166,0.0196267901857099
"2016-07-15","2016-07-15",22.5764465332031,-0.000101122241544349
"2016-07-18","2016-07-18",22.8164196014404,0.0105732607034446
"2016-07-19","2016-07-19",22.825569152832,0.000400926943101343
"2016-07-20","2016-07-20",22.8461380004883,0.000900726087504911
"2016-07-21","2016-07-21",22.7250061035156,-0.00531617911455085
"2016-07-22","2016-07-22",22.549015045166,-0.00777452235691367
"2016-07-25","2016-07-25",22.2473278045654,-0.013469483559529
"2016-07-26","2016-07-26",22.0941925048828,-0.00690711132278343
"2016-07-27","2016-07-27",23.5295104980469,0.0629406078041304
"2016-07-28","2016-07-28",23.8471946716309,0.0134111873751799
"2016-07-29","2016-07-29",23.8174858093262,-0.00124657779521886
"2016-08-01","2016-08-01",24.2380256652832,0.0175026996419976
"2016-08-02","2016-08-02",23.8791942596436,-0.014915161697715
"2016-08-03","2016-08-03",24.1786022186279,0.0124604894460512
"2016-08-04","2016-08-04",24.3279590606689,0.00615823138629867
"2016-08-05","2016-08-05",24.6979217529297,0.0150928329699496
"2016-08-08","2016-08-08",24.9024410247803,0.00824673125293751
"2016-08-09","2016-08-09",25.0035495758057,0.00405196603235636
"2016-08-10","2016-08-10",24.817419052124,-0.00747201007100884
"2016-08-11","2016-08-11",24.8013286590576,-0.000648561052933871
"2016-08-12","2016-08-12",24.8587818145752,0.00231385635686232
"2016-08-15","2016-08-15",25.1575107574463,0.0119454073744949
"2016-08-16","2016-08-16",25.1345252990723,-0.000914079515436761
"2016-08-17","2016-08-17",25.0977611541748,-0.00146376579915319
"2016-08-18","2016-08-18",25.0655918121338,-0.00128258358138655
"2016-08-19","2016-08-19",25.1299304962158,0.00256352424907869
"2016-08-22","2016-08-22",24.934606552124,-0.00780292584899644
"2016-08-23","2016-08-23",25.0127429962158,0.00312875492048548
"2016-08-24","2016-08-24",24.8243141174316,-0.00756183400790267
"2016-08-25","2016-08-25",24.718599319458,-0.00426761169597079
"2016-08-26","2016-08-26",24.5738334655762,-0.00587377258206168
"2016-08-29","2016-08-29",24.5462589263916,-0.0011227398296052
"2016-08-30","2016-08-30",24.3578319549561,-0.00770601806437154
"2016-08-31","2016-08-31",24.3808174133301,0.000943212845493591
"2016-09-01","2016-09-01",24.5255832672119,0.00592013620630683
"2016-09-02","2016-09-02",24.7553672790527,0.009325537538039
"2016-09-06","2016-09-06",24.7484798431396,-0.000278258614549109
"2016-09-07","2016-09-07",24.9001426696777,0.00610946651100264
"2016-09-08","2016-09-08",24.2475357055664,-0.0265585413294027
"2016-09-09","2016-09-09",23.6983299255371,-0.0229104134495417
"2016-09-12","2016-09-12",24.2291526794434,0.0221519859407078
"2016-09-13","2016-09-13",24.8059234619141,0.0235259095997784
"2016-09-14","2016-09-14",25.6837272644043,0.0347751370627294
"2016-09-15","2016-09-15",26.5569343566895,0.0334332836445856
"2016-09-16","2016-09-16",26.4075679779053,-0.00564025972781712
"2016-09-19","2016-09-19",26.099645614624,-0.0117288986485073
"2016-09-20","2016-09-20",26.0973510742188,-8.79184839064351e-05
"2016-09-21","2016-09-21",26.0927543640137,-0.000176152555293463
"2016-09-22","2016-09-22",26.3386363983154,0.00937926052523297
"2016-09-23","2016-09-23",25.899730682373,-0.0168043554512924
"2016-09-26","2016-09-26",25.9388008117676,0.00150737822489866
"2016-09-27","2016-09-27",25.9870452880859,0.00185820718674856
"2016-09-28","2016-09-28",26.1846656799316,0.00757580433318639
"2016-09-29","2016-09-29",25.7779445648193,-0.0156546955361709
"2016-09-30","2016-09-30",25.9778614044189,0.0077254263611457
"2016-10-03","2016-10-03",25.8560733795166,-0.0046991705153081
"2016-10-04","2016-10-04",25.9663677215576,0.00425663115175334
"2016-10-05","2016-10-05",25.9778614044189,0.000442539363554761
"2016-10-06","2016-10-06",26.1708869934082,0.00740291863003195
"2016-10-07","2016-10-07",26.2099494934082,0.00149148084914952
"2016-10-10","2016-10-10",26.6672344207764,0.0172965462217998
"2016-10-11","2016-10-11",26.724681854248,0.00215191585723851
"2016-10-12","2016-10-12",26.9636669158936,0.00890273758047089
"2016-10-13","2016-10-13",26.8809394836426,-0.00307282392340458
"2016-10-14","2016-10-14",27.0303058624268,0.0055412098168568
"2016-10-17","2016-10-17",27.0119171142578,-0.000680532660051192
"2016-10-18","2016-10-18",26.993537902832,-0.000680642802825204
"2016-10-19","2016-10-19",26.9131145477295,-0.00298380296733214
"2016-10-20","2016-10-20",26.8993263244629,-0.000512454865263745
"2016-10-21","2016-10-21",26.7936210632324,-0.00393740343702431
"2016-10-24","2016-10-24",27.0349025726318,0.00896487992105088
"2016-10-25","2016-10-25",27.1727733612061,0.00508677354215958
"2016-10-26","2016-10-26",26.5615329742432,-0.0227514522737344
"2016-10-27","2016-10-27",26.3064613342285,-0.00964945322904054
"2016-10-28","2016-10-28",26.1318225860596,-0.00666075930700938
"2016-10-31","2016-10-31",26.0904560089111,-0.00158425051198252
"2016-11-01","2016-11-01",25.6193828582764,-0.0182203693994989
"2016-11-02","2016-11-02",25.6423625946045,0.000896564783910314
"2016-11-03","2016-11-03",25.3675136566162,-0.0107764071609155
"2016-11-04","2016-11-04",25.1388530731201,-0.00905478499470957
"2016-11-07","2016-11-07",25.5014762878418,0.014321763602327
"2016-11-08","2016-11-08",25.6516094207764,0.00586997096827391
"2016-11-09","2016-11-09",25.6100254058838,-0.00162242285697145
"2016-11-10","2016-11-10",24.896333694458,-0.0282633407975772
"2016-11-11","2016-11-11",25.0441589355469,0.00592007267220973
"2016-11-14","2016-11-14",24.4159126281738,-0.0254055474857688
"2016-11-15","2016-11-15",24.739278793335,0.0131571384682081
"2016-11-16","2016-11-16",25.4044723510742,0.0265330202408953
"2016-11-17","2016-11-17",25.3952236175537,-0.00036412555021581
"2016-11-18","2016-11-18",25.4206352233887,0.0010001447789274
"2016-11-21","2016-11-21",25.8063545227051,0.0150595063630816
"2016-11-22","2016-11-22",25.8225288391113,0.000626560788541397
"2016-11-23","2016-11-23",25.6908740997314,-0.00511148627414748
"2016-11-25","2016-11-25",25.8202152252197,0.00502188553990823
"2016-11-28","2016-11-28",25.7693958282471,-0.00197014136655183
"2016-11-29","2016-11-29",25.7439937591553,-0.000986231787665659
"2016-11-30","2016-11-30",25.526876449585,-0.00846947229641248
"2016-12-01","2016-12-01",25.2889804840088,-0.0093631286736624
"2016-12-02","2016-12-02",25.3836822509766,0.00373778965278238
"2016-12-05","2016-12-05",25.2012119293213,-0.00721445071895976
"2016-12-06","2016-12-06",25.3952236175537,0.00766902399415859
"2016-12-07","2016-12-07",25.6446743011475,0.00977481068536212
"2016-12-08","2016-12-08",25.8964385986328,0.00976953293252381
"2016-12-09","2016-12-09",26.3191089630127,0.0161897984887749
"2016-12-12","2016-12-12",26.1689777374268,-0.00572059849946394
"2016-12-13","2016-12-13",26.6055145263672,0.0165438539268878
"2016-12-14","2016-12-14",26.6055145263672,0
