"Index","GDAXI.Adjusted"
"2016-11-01","2016-11-01",-0.0131046654772682
"2016-11-02","2016-11-02",-0.014856932253732
"2016-11-03","2016-11-03",-0.00435331597178745
"2016-11-04","2016-11-04",-0.00648532448761685
"2016-11-07","2016-11-07",0.019098818393795
"2016-11-08","2016-11-08",0.00242321045447902
"2016-11-09","2016-11-09",0.0154950938035849
"2016-11-10","2016-11-10",-0.00149365993526196
"2016-11-11","2016-11-11",0.00355244558348744
"2016-11-14","2016-11-14",0.00240995036709357
"2016-11-15","2016-11-15",0.00386855188005164
"2016-11-16","2016-11-16",-0.00666103670646301
"2016-11-17","2016-11-17",0.00203002604364499
"2016-11-18","2016-11-18",-0.00196537495255811
"2016-11-21","2016-11-21",0.00192698998366758
"2016-11-22","2016-11-22",0.00268421620917358
"2016-11-23","2016-11-23",-0.00480993462459089
"2016-11-24","2016-11-24",0.00251215123823201
"2016-11-25","2016-11-25",0.000935993888766973
"2016-11-28","2016-11-28",-0.0109577208714224
"2016-11-29","2016-11-29",0.00356742601870685
"2016-11-30","2016-11-30",0.00186348447151907
"2016-12-01","2016-12-01",-0.0100358116049168
"2016-12-02","2016-12-02",-0.00196700804499095
"2016-12-05","2016-12-05",0.0161791448029831
"2016-12-06","2016-12-06",0.00843337712426262
"2016-12-07","2016-12-07",0.0194262163409835
"2016-12-08","2016-12-08",0.0173900017715969
"2016-12-09","2016-12-09",0.00216324143401891
"2016-12-12","2016-12-12",-0.00119853705975359
"2016-12-13","2016-12-13",0.00840414436996539
"2016-12-14","2016-12-14",-0.00353408691419332
"2016-12-15","2016-12-15",0.0107523264334759
"2016-12-16","2016-12-16",0.00330335808111748
"2016-12-19","2016-12-19",0.00198771191935165
"2016-12-20","2016-12-20",0.00332351947833942
"2016-12-21","2016-12-21",0.000340064492892367
"2016-12-22","2016-12-22",-0.00109401814103194
"2016-12-23","2016-12-23",-0.000538715981216242
"2016-12-27","2016-12-27",0.00194663541857665
"2016-12-28","2016-12-28",0.000239680341113768
"2016-12-29","2016-12-29",-0.00208849311513681
"2016-12-30","2016-12-30",0.00261727190160421
"2017-01-02","2017-01-02",0.0101624452690743
"2017-01-03","2017-01-03",-0.00121555507391591
"2017-01-04","2017-01-04",5.98534980156273e-06
"2017-01-05","2017-01-05",5.44566073710229e-05
"2017-01-06","2017-01-06",0.00121371358600264
"2017-01-09","2017-01-09",-0.00302374976748609
"2017-01-10","2017-01-10",0.00166840911044552
"2017-01-11","2017-01-11",0.00541297510764771
"2017-01-12","2017-01-12",-0.0108024315255317
"2017-01-13","2017-01-13",0.00934249750280713
"2017-01-16","2017-01-16",-0.00642428719377897
"2017-01-17","2017-01-17",-0.0012738815903397
"2017-01-18","2017-01-18",0.00513321913405917
"2017-01-19","2017-01-19",-0.000215551811365344
"2017-01-20","2017-01-20",0.00286220597721609
"2017-01-23","2017-01-23",-0.00728173049589387
"2017-01-24","2017-01-24",0.00425142922408384
"2017-01-25","2017-01-25",0.0180432622927285
"2017-01-26","2017-01-26",0.00360014379206675
"2017-01-27","2017-01-27",-0.00290415600482419
"2017-01-30","2017-01-30",-0.0112683339047575
"2017-01-31","2017-01-31",-0.0126270205393428
"2017-02-01","2017-02-01",0.0107085696123228
"2017-02-02","2017-02-02",-0.00270959883765087
"2017-02-03","2017-02-03",0.00202238942615018
"2017-02-06","2017-02-06",-0.0122317808386061
"2017-02-07","2017-02-07",0.00343468004193248
"2017-02-08","2017-02-08",-0.000524885824436438
"2017-02-09","2017-02-09",0.00858104446215435
"2017-02-10","2017-02-10",0.00206860226062844
"2017-02-13","2017-02-13",0.0091684555004985
"2017-02-14","2017-02-14",-0.000222550800543786
"2017-02-15","2017-02-15",0.00187731209634379
"2017-02-16","2017-02-16",-0.00311572486018008
"2017-02-17","2017-02-17",-1.8771853948607e-05
"2017-02-20","2017-02-20",0.00598701509760424
"2017-02-21","2017-02-21",0.011756342045885
"2017-02-22","2017-02-22",0.00259530358989224
"2017-02-23","2017-02-23",-0.00423945139321802
"2017-02-24","2017-02-24",-0.0121086567151796
"2017-02-27","2017-02-27",0.00157784643225867
"2017-02-28","2017-02-28",0.000992534606977458
"2017-03-01","2017-03-01",0.01947883220401
"2017-03-02","2017-03-02",-0.000631673478450168
"2017-03-03","2017-03-03",-0.00267447775609853
"2017-03-06","2017-03-06",-0.00575009078792021
"2017-03-07","2017-03-07",0.000646972361417752
"2017-03-08","2017-03-08",9.77645858935006e-05
"2017-03-09","2017-03-09",0.00092543373359355
"2017-03-10","2017-03-10",-0.00127059030845622
"2017-03-13","2017-03-13",0.0022419205799693
"2017-03-14","2017-03-14",-0.000103444152792065
"2017-03-15","2017-03-15",0.00175677170386024
"2017-03-16","2017-03-16",0.00608555555665369
"2017-03-17","2017-03-17",0.000997629118383969
"2017-03-20","2017-03-20",-0.00350667886149481
"2017-03-21","2017-03-21",-0.00755951077674055
"2017-03-22","2017-03-22",-0.00486124798526966
"2017-03-23","2017-03-23",0.011323266969173
"2017-03-24","2017-03-24",0.00204031729881748
"2017-03-27","2017-03-27",-0.00566903059899815
"2017-03-28","2017-03-28",0.0127023033929046
